startTime,call,completionItemsCount,isComplete,endTime,duration
1574600385431,this.canvas.add.,77,false,1574600385435,4
1574600385435,this.canvas.,78,false,1574600385439,4
1574600385439,this.canvas.fire.,77,false,1574600385443,4
1574600385443,this.canvas.,78,false,1574600385447,4
1574600385447,this.canvas.clearContext.,78,false,1574600385453,6
1574600385453,this.canvas.,78,false,1574600385460,7
1574600385460,this.canvas.contextTop.,78,false,1574600385464,4
1574600385464,this.canvas.,78,false,1574600385468,4
1574600385468,this._resetShadow.,77,false,1574600385472,4
1574600385472,this.canvas.renderOnAddRemove.,78,false,1574600385478,6
1574600385478,this.canvas.,78,false,1574600385482,4
1574600385482,this.canvas.requestRenderAll.,77,false,1574600385487,5
1574600385487,this.canvas.,78,false,1574600385491,4
1574600385491,rects.length.,98,false,1574600385497,6
1574600385497,rects[i].left.,78,false,1574600385502,5
1574600385502,rects[i].top.,78,false,1574600385507,5
1574600385507,uniqueRectsArray.push.,98,false,1574600385514,7
1574600385514,this.canvas.contextTop.,78,false,1574600385519,5
1574600385519,this.canvas.,78,false,1574600385523,4
1574600385523,ctx.fillStyle.,78,false,1574600385527,4
1574600385527,this.color.,78,false,1574600385531,4
1574600385532,this._saveAndTransform.,78,false,1574600385536,4
1574600385536,sprayChunk.length.,78,false,1574600385540,4
1574600385541,point.opacity.,78,false,1574600385546,5
1574600385546,ctx.globalAlpha.,77,false,1574600385553,7
1574600385554,point.opacity.,78,false,1574600385558,4
1574600385558,ctx.fillRect.,77,false,1574600385563,5
1574600385563,point.x.,78,false,1574600385567,4
1574600385567,point.y.,78,false,1574600385573,6
1574600385573,point.width.,78,false,1574600385578,5
1574600385578,point.width.,78,false,1574600385585,7
1574600385585,ctx.restore.,78,false,1574600385605,20
1574600385606,this.canvas.contextTop.,78,false,1574600385612,6
1574600385612,this.canvas.,78,false,1574600385617,5
1574600385617,ctx.fillStyle.,78,false,1574600385621,4
1574600385622,this.color.,78,false,1574600385626,4
1574600385626,this._saveAndTransform.,78,false,1574600385630,4
1574600385630,this.sprayChunks.length.,78,false,1574600385635,5
1574600385635,this.sprayChunks.,78,false,1574600385639,4
1574600385639,this.render.,78,false,1574600385644,5
