file,fileStat/total,fileStat/source,fileStat/comment,fileStat/single,fileStat/block,fileStat/mixed,fileStat/empty,fileStat/todo,fileStat/blockEmpty,executionDuration/startTime,executionDuration/endTime,duration
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/dom_event.js,45,25,17,1,16,0,3,0,0,1574690503286,1574690503528,242
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/dom_misc.js,321,207,81,8,73,1,34,0,0,1574690507287,1574690507525,238
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/dom_request.js,54,32,12,0,12,0,10,0,0,1574690511283,1574690511522,239
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/dom_style.js,70,54,10,0,10,0,6,0,0,1574690515286,1574690515510,224
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/lang_array.js,94,55,30,0,30,0,9,0,0,1574690519287,1574690519525,238
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/lang_class.js,115,87,10,2,8,0,18,0,0,1574690523287,1574690523528,241
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/lang_object.js,69,42,24,5,19,0,3,1,0,1574690527287,1574690527527,240
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/lang_string.js,110,61,40,9,31,1,10,0,0,1574690531287,1574690531534,247
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/misc.js,980,519,383,20,363,3,81,0,0,1574690535289,1574690535566,277
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/named_accessors.mixin.js,444,22,367,1,366,0,55,0,0,1574690539288,1574690539528,240
